a52dec 0.7.4-9
virtualgl 2.5.2-2
vlc 2.2.8-4
vte-common 0.50.2+6+g7fe155b9-1
vte3-ng 0.50.2.a-1
w3m 0.5.3.git20180125-1
wayland 1.14.0-1
wayland-protocols 1.12-1
webrtc-audio-processing 0.3-2
wget 1.19.4-1
which 2.21-2
wicd 1.7.4-1
wicd-gtk 1.7.4-1
wireless_tools 30.pre9-1
wireshark-cli 2.5.0-1
wireshark-common 2.5.0-1
wireshark-qt 2.5.0-1
wpa_supplicant 1:2.6-11
wxgtk-common 3.0.3.1-11
wxgtk2 3.0.3.1-11
x265 2.6-1
xcb-proto 1.12-3
xcb-util 0.4.0-1
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xcb-util-xrm 1.2-2
xdg-user-dirs 0.16-1
xdg-utils 1.1.2-1
xf86-input-libinput 0.26.0-1
xf86-input-synaptics 1.9.0-1
xf86-input-vmmouse 13.1.0-3
xf86-video-intel 1:2.99.917+812+g75795523-1
xf86-video-vmware 13.2.1-3
xfsprogs 4.14.0-1
xkeyboard-config 2.23.1-2
xmlrpc-c 1:1.43.06-2
xorg-mkfontdir 1.0.7-8
xorg-mkfontscale 1.1.2-1
xorg-server 1.19.6+13+gd0d1a694f-1
xorg-server-common 1.19.6+13+gd0d1a694f-1
xorg-setxkbmap 1.3.1-1
xorg-xauth 1.0.10-1
xorg-xbacklight 1.2.1-1
xorg-xinit 1.3.4-4
xorg-xinput 1.6.2-1
xorg-xkbcomp 1.4.0-1
xorg-xmodmap 1.0.9-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.0-2
xorg-xset 1.2.3-1
xorgproto 2018.3-1
xvidcore 1.3.4-1
xz 5.2.3-1
yajl 2.1.0-1
zeromq 4.2.2-2
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.6.0-2
zlib 1:1.2.11-2
zsh 5.4.2-2
zsh-completions 0.27.0-1
zvbi 0.2.35-1
zziplib 0.13.68-1
